,type,total_timesteps,num_episodes,episode_timesteps,train_episode_reward,train_episode_timesteps,train_reward,train_predicted_reward,reward_pearsonr,actor_loss,critic_loss,discriminator_loss
183,train,34151,178,26,199.250,176.250,0.442,0.365,0.000,-68.611,0.990,1.424
184,train,34263,179,112,192.679,170.240,0.444,0.365,0.000,-68.645,0.996,1.422
185,train,34496,180,233,190.091,168.000,0.446,0.370,0.000,-68.788,1.003,1.418
186,train,34560,181,64,194.970,170.407,0.452,0.369,0.000,-69.084,1.007,1.416
187,train,34625,182,65,190.607,166.607,0.452,0.369,0.000,-69.164,1.009,1.417
188,train,34649,183,24,187.636,163.103,0.454,0.369,0.000,-69.247,1.014,1.416
189,train,34694,184,45,181.796,158.467,0.454,0.370,0.000,-69.279,1.013,1.417
190,train,34713,185,19,177.720,154.806,0.455,0.372,0.000,-69.335,1.015,1.416
191,train,34740,186,27,173.074,150.562,0.455,0.372,0.000,-69.365,1.013,1.416
192,train,34790,187,50,168.916,146.818,0.456,0.370,0.000,-69.400,1.014,1.417
193,train,34878,188,88,165.491,143.971,0.459,0.373,0.000,-69.469,1.022,1.417
194,train,34899,189,21,162.810,142.371,0.461,0.371,0.000,-69.575,1.032,1.416
195,train,35162,190,263,158.781,139.000,0.462,0.371,0.000,-69.605,1.035,1.416
196,train,35162,190,263,158.781,139.000,0.465,0.379,0.000,-69.940,1.030,1.419
197,train,35325,191,163,165.841,263.000,0.465,0.379,0.000,-69.940,1.030,1.419
198,train,35369,192,44,168.487,213.000,0.467,0.374,0.000,-70.156,1.038,1.424
199,train,35387,193,18,133.581,156.667,0.468,0.373,0.000,-70.211,1.034,1.424
200,train,36387,194,1000,104.070,122.000,0.468,0.374,0.000,-70.235,1.035,1.425
201,train,36407,195,20,235.496,297.600,0.478,0.413,0.000,-71.449,1.006,1.434
202,train,36558,196,151,200.689,251.333,0.478,0.413,0.000,-71.472,1.006,1.434
203,train,36577,197,19,195.336,237.000,0.480,0.413,0.000,-71.660,0.999,1.434
204,train,36595,198,18,172.973,209.750,0.480,0.412,0.000,-71.682,0.997,1.435
205,train,36622,199,27,155.720,188.444,0.480,0.412,0.000,-71.702,0.996,1.434
206,train,36668,200,46,142.254,172.300,0.482,0.412,0.000,-71.731,0.996,1.434
207,train,36688,201,20,134.361,160.818,0.483,0.412,0.000,-71.788,0.999,1.436
208,train,37437,202,749,125.284,149.083,0.483,0.412,0.000,-71.811,1.000,1.437
209,train,37668,203,231,175.481,195.231,0.494,0.400,0.000,-72.720,1.023,1.429
210,train,37682,204,14,183.288,197.786,0.496,0.387,0.000,-73.004,1.043,1.426
211,train,37720,205,38,171.735,185.533,0.496,0.387,0.000,-73.021,1.043,1.424
212,train,37953,206,233,163.213,176.312,0.495,0.386,0.000,-73.070,1.039,1.423
213,train,38246,207,293,170.882,179.647,0.502,0.386,0.000,-73.358,1.041,1.420
214,train,38287,208,41,188.453,185.944,0.513,0.373,0.000,-73.708,1.023,1.416
215,train,38385,209,98,181.314,178.316,0.514,0.373,0.000,-73.759,1.023,1.415
216,train,38627,210,242,177.233,174.300,0.515,0.374,0.000,-73.882,1.029,1.416
217,train,38674,211,47,177.561,177.524,0.518,0.379,0.000,-74.153,1.019,1.418
218,train,38924,212,250,173.524,171.591,0.519,0.379,0.000,-74.210,1.019,1.418
219,train,38971,213,47,181.092,175.000,0.524,0.371,0.000,-74.494,0.999,1.424
220,train,39098,214,127,175.659,169.667,0.524,0.372,0.000,-74.541,0.994,1.426
221,train,39223,215,125,173.715,167.960,0.524,0.377,0.000,-74.691,0.991,1.426
222,train,39261,216,38,175.724,166.308,0.525,0.380,0.000,-74.832,0.990,1.424
223,train,39293,217,32,171.423,161.556,0.525,0.383,0.000,-74.875,0.988,1.424
224,train,39311,218,18,165.973,156.929,0.526,0.382,0.000,-74.915,0.985,1.425
225,train,39431,219,120,160.694,152.138,0.526,0.382,0.000,-74.938,0.986,1.426
226,train,39458,220,27,160.432,151.067,0.530,0.378,0.000,-75.061,0.980,1.422
227,train,39474,221,16,156.144,147.065,0.531,0.379,0.000,-75.092,0.977,1.422
228,train,39532,222,58,151.854,142.969,0.531,0.380,0.000,-75.111,0.973,1.422
229,train,39556,223,24,149.908,140.394,0.532,0.381,0.000,-75.176,0.978,1.419
230,train,39699,224,143,146.294,136.971,0.531,0.381,0.000,-75.203,0.979,1.419
231,train,39718,225,19,147.215,137.143,0.535,0.385,0.000,-75.367,0.983,1.421
232,train,39871,226,153,143.470,133.861,0.535,0.385,0.000,-75.393,0.984,1.420
233,train,39953,227,82,144.958,134.378,0.539,0.391,0.000,-75.569,0.997,1.413
234,train,40318,228,365,143.303,133.000,0.540,0.396,0.000,-75.669,0.997,1.414
235,train,40318,228,365,143.303,133.000,0.547,0.405,0.000,-76.091,1.002,1.414
236,train,40333,229,15,548.849,365.000,0.547,0.405,0.000,-76.091,1.002,1.414
237,train,40401,230,68,284.537,190.000,0.547,0.405,0.000,-76.109,1.001,1.414
238,train,40418,231,17,227.932,149.333,0.548,0.407,0.000,-76.186,1.004,1.415
239,train,40458,232,40,174.823,116.250,0.548,0.408,0.000,-76.203,1.007,1.415
240,train,40504,233,46,155.792,101.000,0.548,0.408,0.000,-76.249,1.011,1.415
241,train,40611,234,107,140.216,91.833,0.549,0.406,0.000,-76.305,1.008,1.415
242,train,40726,235,115,141.542,94.000,0.553,0.402,0.000,-76.427,1.008,1.414
243,train,40784,236,58,145.751,96.625,0.556,0.404,0.000,-76.566,1.010,1.416
244,train,41784,237,1000,139.416,92.333,0.557,0.402,0.000,-76.636,1.013,1.419
245,train,41920,238,136,187.872,183.100,0.567,0.354,0.000,-77.653,0.980,1.433
246,train,41959,239,39,197.417,178.818,0.570,0.358,0.000,-77.776,0.977,1.432
247,train,42076,240,117,184.163,167.167,0.570,0.358,0.000,-77.811,0.977,1.433
248,train,43076,241,1000,184.250,163.308,0.572,0.360,0.000,-77.919,0.978,1.432
249,train,43115,242,39,240.493,223.071,0.587,0.415,0.000,-78.818,0.954,1.426
250,train,43278,243,163,227.947,210.800,0.587,0.415,0.000,-78.856,0.952,1.428
251,train,43346,244,68,225.443,207.812,0.588,0.415,0.000,-79.013,0.958,1.430
252,train,44346,245,1000,220.025,199.588,0.588,0.414,0.000,-79.070,0.968,1.431
253,train,44365,246,19,252.049,244.056,0.597,0.433,0.000,-80.022,0.944,1.413
254,train,44513,247,148,239.790,232.211,0.597,0.432,0.000,-80.041,0.942,1.412
255,train,44579,248,66,234.517,228.000,0.597,0.428,0.000,-80.173,0.937,1.411
256,train,44764,249,185,228.188,220.286,0.596,0.424,0.000,-80.232,0.940,1.413
257,train,44999,250,235,231.701,218.682,0.598,0.414,0.000,-80.406,0.934,1.411
258,train,45275,251,276,239.108,219.391,0.596,0.377,0.000,-80.611,0.958,1.412
259,train,45275,251,276,239.108,219.391,0.603,0.375,0.000,-80.865,0.940,1.411
260,train,45500,252,225,422.617,276.000,0.603,0.375,0.000,-80.865,0.940,1.411
